  PID  PPID COMMAND
  642   476 /Applications/Evernote.app/Contents/Frameworks/Evernote Helper (Renderer).app/Contents/MacOS/Evernote Helper (Renderer) --type=renderer --field-trial-handle=1718379636,13780378800555624757,12037911713159579986,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --standard-schemes=app,en-html --secure-schemes=app --bypasscsp-schemes --cors-schemes=en-cache --fetch-schemes=en-cache --service-worker-schemes --streaming-schemes --app-path=/Applications/Evernote.app/Contents/Resources/app.asar --node-integration --no-sandbox --no-zygote --background-color=#fff --enable-spellcheck --enable-websql --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files
  643     1 /usr/libexec/neagent
  649     1 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  652     1 /usr/sbin/distnoted agent
  659   476 /Applications/Evernote.app/Contents/Frameworks/Evernote Helper (Renderer).app/Contents/MacOS/Evernote Helper (Renderer) --type=renderer --field-trial-handle=1718379636,13780378800555624757,12037911713159579986,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --standard-schemes=app,en-html --secure-schemes=app --bypasscsp-schemes --cors-schemes=en-cache --fetch-schemes=en-cache --service-worker-schemes --streaming-schemes --app-path=/Applications/Evernote.app/Contents/Resources/app.asar --no-sandbox --no-zygote --preload=/Applications/Evernote.app/Contents/Resources/app.asar/preloadHelper.js --enable-remote-module --context-isolation --background-color=#262626 --enable-spellcheck --enable-websql --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files
  660     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  663     1 /Library/Application Support/Logitech.localized/Logitech Options.localized/LogiMgrDaemon.app/Contents/MacOS/LogiMgrDaemon --launchd
  665     1 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  668     1 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  669     1 /System/Library/CoreServices/cloudpaird
  672     1 /System/Library/CoreServices/diagnostics_agent
  673     1 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  676     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  677     1 /Applications/Google Drive.app/Contents/MacOS/Google Drive
  679     1 /Applications/Magnet.app/Contents/MacOS/Magnet
  680   476 /Applications/Evernote.app/Contents/Frameworks/Evernote Helper (Renderer).app/Contents/MacOS/Evernote Helper (Renderer) --type=renderer --field-trial-handle=1718379636,13780378800555624757,12037911713159579986,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --standard-schemes=app,en-html --secure-schemes=app --bypasscsp-schemes --cors-schemes=en-cache --fetch-schemes=en-cache --service-worker-schemes --streaming-schemes --app-path=/Applications/Evernote.app/Contents/Resources/app.asar --enable-plugins --no-sandbox --no-zygote --preload=/Applications/Evernote.app/Contents/Resources/app.asar/preloadLoggedIn.js --enable-remote-module --context-isolation --background-color=#262626 --enable-spellcheck --enable-websql --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=10 --no-v8-untrusted-code-mitigations --shared-files
  681   476 /Applications/Evernote.app/Contents/Frameworks/Evernote Helper (Renderer).app/Contents/MacOS/Evernote Helper (Renderer) --type=renderer --field-trial-handle=1718379636,13780378800555624757,12037911713159579986,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --standard-schemes=app,en-html --secure-schemes=app --bypasscsp-schemes --cors-schemes=en-cache --fetch-schemes=en-cache --service-worker-schemes --streaming-schemes --app-path=/Applications/Evernote.app/Contents/Resources/app.asar --enable-plugins --webview-tag --no-sandbox --no-zygote --preload=/Applications/Evernote.app/Contents/Resources/app.asar/preload.js --enable-remote-module --context-isolation --background-color=#262626 --enable-spellcheck --enable-websql --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=11 --no-v8-untrusted-code-mitigations --shared-files
  682   476 /Applications/Evernote.app/Contents/Frameworks/Evernote Helper (Renderer).app/Contents/MacOS/Evernote Helper (Renderer) --type=renderer --field-trial-handle=1718379636,13780378800555624757,12037911713159579986,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-GB --standard-schemes=app,en-html --secure-schemes=app --bypasscsp-schemes --cors-schemes=en-cache --fetch-schemes=en-cache --service-worker-schemes --streaming-schemes --app-path=/Applications/Evernote.app/Contents/Resources/app.asar --enable-plugins --no-sandbox --no-zygote --preload=/Applications/Evernote.app/Contents/Resources/app.asar/preloadLoggedIn.js --enable-remote-module --context-isolation --background-color=#262626 --enable-spellcheck --enable-websql --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=13 --no-v8-untrusted-code-mitigations --shared-files
  684     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  687     1 /System/Library/CoreServices/SubmitDiagInfo server-init
